Table,position,bucket,Time,Species ,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,,,,,,,,,,,,,
1,8,8,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,8,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,8,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,8,2,Amphipods,5,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,8,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,8,2,Nematodes,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,9,2,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,9,2,Copepod,6,5,5,8,5,7,4,5,6,6,7,5,5,,,,,,,,,,,,,,,,,,,,
1,9,9,2,Gastropod,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,9,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,9,2,Isopods,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,9,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,9,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,9,2,Amphipods,9,9,4,9,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,9,2,Larvae,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,9,2,Nematodes,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,2,Ostracod,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,2,Copepod,6,6,6,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,2,Gastropod,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,2,Brittle stars,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,2,Amphipods,8,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,2,Ostracod,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,2,Copepod,9,6,7,6,5,6,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,2,Gastropod,2,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,2,Amphipods,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,2,Ostracod,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,2,Copepod,6,6,6,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,2,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,2,Amphipods,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,2,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,2,Copepod,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,2,Gastropod,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,2,Amphipods,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,2,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,2,Copepod,6,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,2,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,2,Amphipods,61,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,2,Larvae,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,2,Ostracod,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,2,Copepod,5,7,9,6,5,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,2,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,2,Amphipods,8,8,8,5,9,9,17,9,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,2,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,2,Copepod,7,6,5,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,2,Gastropod,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,2,Brittle stars,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,2,Amphipods,11,12,9,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,2,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,2,Copepod,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,2,Gastropod,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,2,Amphipods,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,2,Ostracod,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,2,Copepod,4,4,4,6,6,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,2,Gastropod,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,2,Amphipods,12,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,2,Nematodes,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,2,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,2,Copepod,5,3,6,4,4,6,6,5,4,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,2,Gastropod,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,2,Brittle stars,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,2,Amphipods,7,14,6,8,9,5,7,12,8,14,56,,,,,,,,,,,,,,,,,,,,,,
1,19,19,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,20,2,Ostracod,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,20,2,Copepod,4,6,5,4,3,4,5,7,6,4,7,7,5,8,6,,,,,,,,,,,,,,,,,,
1,20,20,2,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,20,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,20,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,20,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,20,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,20,2,Amphipods,8,8,6,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,20,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,20,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,21,2,Ostracod,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,21,2,Copepod,6,4,3,6,6,9,5,7,4,9,7,5,7,5,5,6,,,,,,,,,,,,,,,,,
1,21,21,2,Gastropod,7,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,21,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,21,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,21,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,21,2,Brittle stars,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,21,2,Amphipods,7,11,17,4,8,11,21,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,21,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,21,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,2,Ostracod,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,2,Copepod,7,8,7,6,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,2,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,2,Amphipods,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,23,2,Ostracod,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,23,2,Copepod,6,6,7,5,4,5,6,4,3,6,7,5,4,7,6,8,4,6,6,4,,,,,,,,,,,,,
1,23,23,2,Gastropod,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,23,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,23,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,23,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,23,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,23,2,Amphipods,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,23,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,23,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,2,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,2,Copepod,3,5,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,2,Gastropod,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,2,Isopods,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,2,Amphipods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,25,2,Ostracod,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,25,2,Copepod,4,4,5,5,4,5,3,7,7,4,6,6,7,,,,,,,,,,,,,,,,,,,,
2,1,25,2,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,25,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,25,2,Isopods,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,25,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,25,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,25,2,Amphipods,16,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,25,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,25,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,26,2,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,26,2,Copepod,6,3,3,5,6,7,6,5,6,5,6,5,6,7,4,4,,,,,,,,,,,,,,,,,
2,2,26,2,Gastropod,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,26,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,26,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,26,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,26,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,26,2,Amphipods,20,8,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,26,2,Larvae,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,26,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,27,2,Ostracod,2,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,27,2,Copepod,4,6,12,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,27,2,Gastropod,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,27,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,27,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,27,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,27,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,27,2,Amphipods,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,27,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,27,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,28,2,Ostracod,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,28,2,Copepod,7,4,3,3,7,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,28,2,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,28,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,28,2,Isopods,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,28,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,28,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,28,2,Amphipods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,28,2,Larvae,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,28,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,29,2,Ostracod,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,29,2,Copepod,4,6,3,3,3,7,6,6,4,5,6,5,5,5,4,6,5,4,,,,,,,,,,,,,,,
2,5,29,2,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,29,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,29,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,29,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,29,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,29,2,Amphipods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,29,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,29,2,Nematodes,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,30,2,Ostracod,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,30,2,Copepod,4,6,6,5,6,4,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,
2,6,30,2,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,30,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,30,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,30,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,30,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,30,2,Amphipods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,30,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,30,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,31,2,Ostracod,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,31,2,Copepod,4,5,5,5,6,5,5,4,5,6,4,5,,,,,,,,,,,,,,,,,,,,,
2,7,31,2,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,31,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,31,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,31,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,31,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,31,2,Amphipods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,31,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,31,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,32,2,Ostracod,2,3,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,32,2,Copepod,5,4,4,6,6,5,4,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,
2,8,32,2,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,32,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,32,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,32,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,32,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,32,2,Amphipods,7,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,32,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,32,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,33,2,Ostracod,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,33,2,Copepod,6,5,7,4,6,5,6,6,6,4,5,5,6,,,,,,,,,,,,,,,,,,,,
2,9,33,2,Gastropod,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,33,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,33,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,33,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,33,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,33,2,Amphipods,12,8,7,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,33,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,33,2,Nematodes,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,34,2,Ostracod,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,34,2,Copepod,7,5,4,4,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,34,2,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,34,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,34,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,34,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,34,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,34,2,Amphipods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,34,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,34,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,35,2,Ostracod,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,35,2,Copepod,6,6,4,7,5,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,35,2,Gastropod,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,35,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,35,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,35,2,Mites ,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,35,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,35,2,Amphipods,17,5,14,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,35,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,35,2,Nematodes,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,36,2,Ostracod,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,36,2,Copepod,5,5,4,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,36,2,Gastropod,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,36,2,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,36,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,36,2,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,36,2,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,36,2,Amphipods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,36,2,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,36,2,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13,37,2,Ostracod,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
